         53762953 function calls (53439232 primitive calls) in 75.954 seconds

   Ordered by: file name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      816    0.001    0.000    0.025    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/cspyce/cspyce0.py:1386(spkez)
    13886    0.009    0.000    2.184    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/cspyce/cspyce0.py:1390(spkez_vector)
    26532    0.012    0.000    0.073    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/cspyce/cspyce0.py:870(namfrm)
   381544    0.105    0.000    6.411    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/cspyce/cspyce0.py:1578(sxform)
   381544    0.102    0.000    0.364    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/cspyce/cspyce0.py:2010(xf2rav)
    38362    0.021    0.000    0.114    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/cspyce/cspyce1.py:256(frmnam1_error)
    26532    0.015    0.000    0.088    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/cspyce/cspyce1.py:356(namfrm1_error)
    26532    0.034    0.000    0.162    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/cspyce/cspyce1.py:904(namfrm_error)
    38362    0.029    0.000    0.153    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/cspyce/cspyce1.py:898(frmnam_error)
    26532    0.020    0.000    0.032    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/cspyce/cspyce1.py:886(_name_as_key)
    29692    0.023    0.000    0.235    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/cspyce/cspyce1.py:141(bodc2n_error)
      954    0.001    0.000    0.007    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/cspyce/cspyce1.py:150(bodn2c_error)
     5915    0.004    0.000    0.019    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/cspyce/cspyce1.py:247(frinfo_error)
   381544    0.132    0.000    0.496    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/cspyce/cspyce2.py:20071(xf2rav)
      477    0.000    0.000    0.003    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/cspyce/cspyce2.py:410(bodn2c_error)
    32924    0.017    0.000    0.087    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/cspyce/cspyce2.py:1051(chkin)
    32735    0.016    0.000    0.043    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/cspyce/cspyce2.py:1070(chkout)
      189    0.000    0.000    0.000    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/cspyce/cspyce2.py:6872(failed)
     5915    0.003    0.000    0.022    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/cspyce/cspyce2.py:7067(frinfo_error)
     5915    0.002    0.000    0.023    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/cspyce/cspyce2.py:7153(frmnam_error)
     5915    0.003    0.000    0.033    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/cspyce/cspyce2.py:10755(namfrm_error)
      816    0.001    0.000    0.026    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/cspyce/cspyce2.py:14937(spkez)
    13886    0.011    0.000    2.194    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/cspyce/cspyce2.py:14959(spkez_vector)
   381544    0.136    0.000    6.548    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/cspyce/cspyce2.py:16991(sxform)
      921    0.004    0.000    0.005    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/_dtype.py:34(__str__)
     1447    0.020    0.000    0.027    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/_internal.py:27(_makenames_list)
     1447    0.011    0.000    0.038    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/_internal.py:57(_usefields)
     7780    0.001    0.000    0.001    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/_internal.py:46(<lambda>)
     1447    0.002    0.000    0.002    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/_internal.py:537(_view_is_safe)
     1952    0.001    0.000    0.009    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/_methods.py:58(_any)
